User Account Name,Followers,Audience Country
cristiano,400100000,India
kyliejenner,308800000,United States
leomessi,306300000,Argentina
kendalljenner,217800000,United States
selenagomez,295800000,United States
zendaya,127800000,United States
kimkardashian,284900000,United States
beyonce,237200000,United States
arianagrande,294100000,United States
billieeilish,100000000,United States
neymarjr,169800000,Brazil
lalalalisa_m,73100000,Indonesia
jennierubyjane,62300000,Indonesia
tomholland2013,60900000,United States
virat.kohli,182600000,India
abcdefghi__lmnopqrstuvwxyz,32100000,United States
khaby00,69200000,Iran
khloekardashian,219400000,United States
sooyaaa__,56100000,Indonesia
justinbieber,219800000,India
thv,34100000,
roses_are_rosie,55100000,Indonesia
badgalriri,120900000,United States
nickiminaj,174000000,United States
iamcardib,123100000,United States
jin,28400000,United States
agustd,27900000,
therock,295800000,India
instagram,469600000,India
zayn,44500000,India
champagnepapi,102600000,United States
rkive,28000000,
kourtneykardash,162200000,United States
uarmyhope,28500000,United States
badbunnypr,37800000,United States
katrinakaif,61600000,India
adele,49100000,United States
harrystyles,43000000,Brazil
kingjames,111400000,United States
jlo,194900000,United States
k.mbappe,65800000,France
karolg,47300000,Mexico
gigihadid,72300000,United States
anushkasharma,56900000,India
narendramodi,65300000,India
eunwo.o_c,26500000,Indonesia
dualipa,78700000,Mexico
charlidamelio,47100000,United States
ester_exposito,29000000,Russia
mileycyrus,160200000,United States
georginagio,33400000,India
actorleeminho,28200000,Indonesia
gal_gadot,73600000,United States
fcbarcelona,105100000,Indonesia
akshaykumar,59500000,India
shawnmendes,66500000,Brazil
milliebobbybrown,47500000,Brazil
chrishemsworth,53500000,India
dlwlrma,25000000,South Korea
oliviarodrigo,21600000,India
mosalah,47900000,Egypt
rashmika_mandanna,28600000,India
lelepons,47300000,Mexico
ursulolita,24900000,Brazil
priyankachopra,74000000,India
lilireinhart,29300000,Brazil
handemiyy,26700000,Turkey
ddlovato,125800000,United States
blackpinkofficial,45200000,Indonesia
whinderssonnunes,57100000,Brazil
shraddhakapoor,68900000,India
meganfox,18800000,United States
haileybieber,41000000,United States
bn_sj2013,20900000,Indonesia
kimberly.loaiza,33400000,Mexico
real__pcy,23600000,Indonesia
katyperry,151900000,Brazil
davidbeckham,71100000,India
camila_cabello,60000000,Brazil
paulpogba,51500000,Brazil
aliaabhatt,58900000,India
dojacat,19700000,United States
iamsrk,28000000,India
realmadrid,109800000,Spain
jongsuk0206,21800000,Indonesia
miakhalifa,27000000,India
nasa,73900000,India
bellahadid,49100000,United States
oohsehun,22800000,Indonesia
niallhoran,29200000,United States
hoooooyeony,23500000,South Korea
addisonraee,40300000,United States
beingsalmankhan,49500000,India
twicetagram,23500000,Indonesia
emmawatson,65700000,United States
zacefron,51400000,United States
nike,199000000,United States
madelame,25400000,Russia
virginia,33300000,Brazil
jenniferaniston,39600000,Brazil
iamhalsey,28300000,United States
paulodybala,45500000,Argentina
dovecameron,44900000,United States
antonelaroccuzzo,18700000,Argentina
camimendes,26900000,Brazil
theweeknd,36700000,United States
norafatehi,37800000,India
iamzlatanibrahimovic,52100000,Italy
karimbenzema,45200000,France
nehakakkar,67600000,India
skawngur,16700000,Indonesia
chrisbrownofficial,103900000,United States
hi_high_hiy,12300000,South Korea
realstraykids,19100000,Indonesia
songkang_b,12800000,Mexico
vindiesel,78200000,Brazil
sergioramos,49400000,Spain
shakira,71600000,India
louist91,18100000,Brazil
ladygaga,51400000,United States
varundvn,39900000,India
kjapa,19100000,United States
dannapaola,33200000,Mexico
iansomerhalder,22300000,United States
saraalikhan95,39300000,India
jannatzubair29,40000000,India
deepikapadukone,64200000,India
championsleague,87900000,Brazil
sabrinacarpenter,26600000,Brazil
juliette,33400000,Brazil
alluarjunonline,16400000,India
maluma,60900000,Italy
hazardeden_10,26900000,Spain
hrithikroshan,41300000,India
luisitocomunica,31000000,Mexico
jacksonwang852g7,27000000,China
madisonbeer,30100000,United States
kunaguero,21800000,Argentina
elrubiuswtf,16000000,Mexico
mrbeast,17400000,United States
